timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-07-23T17:45:52,codecarbon,eae6b72c-1b80-45e3-933d-ed005006fba4,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,7.004862959031016,6.061640489914682e-05,8.653474772264768e-06,42.5,0.0,6.0,8.268934435804517e-05,0.0,1.1673172569911306e-05,9.436251692795648e-05,Taiwan,TWN,taoyuan,,,macOS-15.2-arm64-arm-64bit,3.12.9,3.0.2,12,Apple M2 Max,,,121.2392,24.9604,64.0,machine,N,1.0
2025-07-23T17:48:20,codecarbon,a2db369d-cb1a-49a7-bc33-ed77db7365c1,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,6.6737895420519635,5.775119104418866e-05,8.65343305782941e-06,42.5,0.0,6.0,7.878075414159362e-05,0.0,1.1121439028453704e-05,8.990219317004732e-05,Taiwan,TWN,taoyuan,,,macOS-15.2-arm64-arm-64bit,3.12.9,3.0.2,12,Apple M2 Max,,,121.2392,24.9604,64.0,machine,N,1.0
2025-07-23T17:50:38,codecarbon,5102e8d8-b82a-4143-90c6-696c942a6a92,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,6.983431916916743,6.0432105541099745e-05,8.653639966720137e-06,42.5,0.0,6.0,8.243777436695787e-05,0.0,1.16378408332821e-05,9.407561520023996e-05,Taiwan,TWN,taoyuan,,,macOS-15.2-arm64-arm-64bit,3.12.9,3.0.2,12,Apple M2 Max,,,121.2392,24.9604,64.0,machine,N,1.0
2025-07-23T18:02:43,codecarbon,d9d32ad0-f585-498f-93c9-a5b0d982cfa6,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,11.578733833041042,0.0001002000766433,8.653802573598302e-06,42.5,0.0,6.0,0.0001366866617809,0.0,1.929638347181026e-05,0.0001559830452527,Taiwan,TWN,taoyuan,,,macOS-15.2-arm64-arm-64bit,3.12.9,3.0.2,12,Apple M2 Max,,,121.2392,24.9604,64.0,machine,N,1.0
2025-07-23T18:03:38,codecarbon,a29e4adf-8d38-45b3-b5b0-26bf1664b59c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,9.484756916994227,8.207748223434743e-05,8.653620008677906e-06,42.5,0.0,6.0,0.000111965045348,0.0,1.5806270348257386e-05,0.0001277713156962,Taiwan,TWN,taoyuan,,,macOS-15.2-arm64-arm-64bit,3.12.9,3.0.2,12,Apple M2 Max,,,121.2392,24.9604,64.0,machine,N,1.0
2025-07-23T18:05:32,codecarbon,95572735-8ecf-4df5-b5f2-566b02438ecb,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,9.889059124980122,8.557734018632052e-05,8.65373936031478e-06,42.5,0.0,6.0,0.0001167392803816,0.0,1.6480319583400462e-05,0.000133219599965,Taiwan,TWN,taoyuan,,,macOS-15.2-arm64-arm-64bit,3.12.9,3.0.2,12,Apple M2 Max,,,121.2392,24.9604,64.0,machine,N,1.0
2025-07-23T18:09:36,codecarbon,8174435a-f7d4-41c8-b6b9-17a023c91519,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,189.9194133329438,0.0016435391930937,8.653876737774775e-06,42.5,0.0,6.0,0.0022420145952859,0.0,0.0003165088801347,0.0025585234754206,Taiwan,TWN,taoyuan,,,macOS-15.2-arm64-arm-64bit,3.12.9,3.0.2,12,Apple M2 Max,,,121.2392,24.9604,64.0,machine,N,1.0
2025-07-23T18:10:15,codecarbon,b87eb643-6905-4a8a-84d8-660e5668e983,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,225.0512229580199,0.0019475675213402,8.653885527667212e-06,42.5,0.0,6.0,0.0026567508767767,0.0,0.0003750583093103,0.003031809186087,Taiwan,TWN,taoyuan,,,macOS-15.2-arm64-arm-64bit,3.12.9,3.0.2,12,Apple M2 Max,,,121.2392,24.9604,64.0,machine,N,1.0
2025-07-23T18:12:36,codecarbon,296e1819-bd79-4bac-bc51-d232cea29e67,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,105.0332197919488,0.0009089450622424,8.653881734206165e-06,42.5,0.0,6.0,0.0012399266816834,0.0,0.0001750424832668,0.0014149691649502,Taiwan,TWN,taoyuan,,,macOS-15.2-arm64-arm-64bit,3.12.9,3.0.2,12,Apple M2 Max,,,121.2392,24.9604,64.0,machine,N,1.0
2025-07-23T18:15:46,codecarbon,81f8958a-60db-40d0-8579-58fa7bb75ddd,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,101.21597454196308,0.0008759095675585,8.653866857700144e-06,42.5,0.0,6.0,0.0011948620334681,0.0,0.00016868025403,0.0013635422874981,Taiwan,TWN,taoyuan,,,macOS-15.2-arm64-arm-64bit,3.12.9,3.0.2,12,Apple M2 Max,,,121.2392,24.9604,64.0,machine,N,1.0
2025-07-23T18:20:45,codecarbon,ac5ab961-bbe1-4300-a555-370df35f62e4,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,103.69136633398011,0.0008973328517784,8.653882029948943e-06,42.5,0.0,6.0,0.0012240859621523,0.0,0.0001728062909734,0.0013968922531258,Taiwan,TWN,taoyuan,,,macOS-15.2-arm64-arm-64bit,3.12.9,3.0.2,12,Apple M2 Max,,,121.2392,24.9604,64.0,machine,N,1.0
2025-07-29T20:53:14,codecarbon,2d6fb5ad-1543-491a-a971-d1c1b8dfcff4,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,13265.967300624994,0.1148018114204968,8.653859068014452e-06,42.5,0.0,6.0,0.15660563965903826,0.0,0.022108157233907782,0.1787137968929459,Taiwan,TWN,taoyuan,,,macOS-15.2-arm64-arm-64bit,3.12.9,3.0.2,12,Apple M2 Max,,,121.2392,24.9604,64.0,machine,N,1.0
